table,column,linkid,short_name,label,data_type,questionnaire_title,source,anon
qr_1_month_follow_up,questionnaire_id,,questionnaire_id,Questionnaire ID,text,1 month follow up,system,FALSE
qr_1_month_follow_up,subject_patient_id,,subject_patient_id,Subject Patient ID,text,1 month follow up,system,FALSE
qr_1_month_follow_up,encounter_id,,encounter_id,Encounter ID,text,1 month follow up,system,FALSE
qr_1_month_follow_up,author_practitioner_id,,author_practitioner_id,Author Practitioner ID,text,1 month follow up,system,FALSE
qr_1_month_follow_up,practitioner_location_id,,practitioner_location_id,Practitioner Location ID,text,1 month follow up,system,FALSE
qr_1_month_follow_up,practitioner_organization_id,,practitioner_organization_id,Practitioner Organization ID,text,1 month follow up,system,FALSE
qr_1_month_follow_up,practitioner_id,,practitioner_id,Practitioner ID,text,1 month follow up,system,FALSE
qr_1_month_follow_up,practitioner_careteam_id,,practitioner_careteam_id,Practitioner Care Team ID,text,1 month follow up,system,FALSE
qr_1_month_follow_up,application_version,,application_version,Application Version,text,1 month follow up,system,FALSE
qr_1_month_follow_up,qr_id,,qr_id,Questionnaire Response ID,character varying,1 month follow up,system,FALSE
qr_1_month_follow_up,one_follow_scheduling,completed-all-recommended-interventions,one_follow_scheduling,One-month follow-up scheduling - Have you completed all recommended intervent...,text,1 month follow up,questionnaire,FALSE
qr_1_month_follow_up,describe_one_follow,schedule-this-meeting,describe_one_follow,Describe one month follow-up - Let's schedule this meeting now,text,1 month follow up,questionnaire,FALSE
qr_common_mental_health_symptoms,questionnaire_id,,questionnaire_id,Questionnaire ID,text,Common Mental Health Symptoms,system,FALSE
qr_common_mental_health_symptoms,subject_patient_id,,subject_patient_id,Subject Patient ID,text,Common Mental Health Symptoms,system,FALSE
qr_common_mental_health_symptoms,encounter_id,,encounter_id,Encounter ID,text,Common Mental Health Symptoms,system,FALSE
qr_common_mental_health_symptoms,author_practitioner_id,,author_practitioner_id,Author Practitioner ID,text,Common Mental Health Symptoms,system,FALSE
qr_common_mental_health_symptoms,practitioner_location_id,,practitioner_location_id,Practitioner Location ID,text,Common Mental Health Symptoms,system,FALSE
qr_common_mental_health_symptoms,practitioner_organization_id,,practitioner_organization_id,Practitioner Organization ID,text,Common Mental Health Symptoms,system,FALSE
qr_common_mental_health_symptoms,practitioner_id,,practitioner_id,Practitioner ID,text,Common Mental Health Symptoms,system,FALSE
qr_common_mental_health_symptoms,practitioner_careteam_id,,practitioner_careteam_id,Practitioner Care Team ID,text,Common Mental Health Symptoms,system,FALSE
qr_common_mental_health_symptoms,application_version,,application_version,Application Version,text,Common Mental Health Symptoms,system,FALSE
qr_common_mental_health_symptoms,qr_id,,qr_id,Questionnaire Response ID,character varying,Common Mental Health Symptoms,system,FALSE
qr_common_mental_health_symptoms,place_declare_values,16d05294-fee9-4d42-8447-0d578a5de192,place_declare_values,A place to declare values that cannot be created using FHIRPath such as Codin...,text,Common Mental Health Symptoms,questionnaire,FALSE
qr_common_mental_health_symptoms,short_form_pcl,347352fc-b189-444a-aa22-df4d9e779f67,short_form_pcl,"Short-Form PCL-5-8 (IPC Session 2) - In the past month, how much were you bot...",text,Common Mental Health Symptoms,questionnaire,FALSE
qr_common_mental_health_symptoms,place_declare_values,4a05b4fe-b514-4751-91be-adb1b278430c,place_declare_values,A place to declare values that cannot be created using FHIRPath such as Codin...,text,Common Mental Health Symptoms,questionnaire,FALSE
qr_common_mental_health_symptoms,short_form_pcl,532fcdbc-38b7-4a35-870c-1d5222e239fb,short_form_pcl,"Short-Form PCL-5-8 (IPC Session 2) - In the past month, how much were you bot...",text,Common Mental Health Symptoms,questionnaire,FALSE
qr_common_mental_health_symptoms,place_declare_values,583c5b02-b26c-4821-8da8-7ed9066d9d5d,place_declare_values,A place to declare values that cannot be created using FHIRPath such as Codin...,text,Common Mental Health Symptoms,questionnaire,FALSE
qr_common_mental_health_symptoms,short_form_pcl,5bc16477-41ff-485f-a73f-f0caa9c2c0ab,short_form_pcl,"Short-Form PCL-5-8 (IPC Session 2) - In the past month, how much were you bot...",text,Common Mental Health Symptoms,questionnaire,FALSE
qr_common_mental_health_symptoms,short_form_pcl,68bec639-6c70-41e0-88f8-fef0ad941b55,short_form_pcl,"Short-Form PCL-5-8 (IPC Session 2) - In the past month, how much were you bot...",text,Common Mental Health Symptoms,questionnaire,FALSE
qr_common_mental_health_symptoms,short_form_pcl,6a52200c-3856-4fcc-afe4-b75921da0122,short_form_pcl,"Short-Form PCL-5-8 (IPC Session 2) - In the past month, how much were you bot...",text,Common Mental Health Symptoms,questionnaire,FALSE
qr_common_mental_health_symptoms,place_declare_values,829e6d32-3fa7-4d16-909b-b198aea54603,place_declare_values,A place to declare values that cannot be created using FHIRPath such as Codin...,text,Common Mental Health Symptoms,questionnaire,FALSE
qr_common_mental_health_symptoms,problem_difficulty,9c366bcc-38c8-449f-8823-8a1632f44da3,problem_difficulty,PHQ-9 (IPC Session 2) - How difficult have these problems made it for you to ...,text,Common Mental Health Symptoms,questionnaire,FALSE
qr_common_mental_health_symptoms,place_declare_values,b3d8e9fc-0435-47c5-a3f7-a0ce6cf41879,place_declare_values,A place to declare values that cannot be created using FHIRPath such as Codin...,text,Common Mental Health Symptoms,questionnaire,FALSE
qr_common_mental_health_symptoms,short_form_pcl,b4f73ad2-ed7a-4268-9057-a4a72b50dd10,short_form_pcl,"Short-Form PCL-5-8 (IPC Session 2) - In the past month, how much were you bot...",text,Common Mental Health Symptoms,questionnaire,FALSE
qr_common_mental_health_symptoms,place_declare_values,d4b3bbcc-6d23-45e1-9755-1aa0bfc1b646,place_declare_values,A place to declare values that cannot be created using FHIRPath such as Codin...,text,Common Mental Health Symptoms,questionnaire,FALSE
qr_common_mental_health_symptoms,short_form_pcl,e13d2bb9-20a6-4605-a33f-5d9047f6b6a8,short_form_pcl,"Short-Form PCL-5-8 (IPC Session 2) - In the past month, how much were you bot...",text,Common Mental Health Symptoms,questionnaire,FALSE
qr_common_mental_health_symptoms,short_form_pcl,eb42041c-cb74-4d5e-8a29-941776cc0b6e,short_form_pcl,"Short-Form PCL-5-8 (IPC Session 2) - In the past month, how much were you bot...",text,Common Mental Health Symptoms,questionnaire,FALSE
qr_common_mental_health_symptoms,psychomotor,f1.10.1,psychomotor,Common Mental Health Symptoms - Moving or speaking so slowly that other peopl...,text,Common Mental Health Symptoms,questionnaire,FALSE
qr_common_mental_health_symptoms,suicidal_thoughts,f1.11.1,suicidal_thoughts,"Common Mental Health Symptoms - Thoughts that you would be better off dead, o...",text,Common Mental Health Symptoms,questionnaire,FALSE
qr_common_mental_health_symptoms,feeling_nervous,f1.15.1,feeling_nervous,"Common Mental Health Symptoms - Feeling nervous, anxious, or on edge",text,Common Mental Health Symptoms,questionnaire,FALSE
qr_common_mental_health_symptoms,common_mental_health,f1.16.1,common_mental_health,Common Mental Health Symptoms - Not being able to stop or control worrying,text,Common Mental Health Symptoms,questionnaire,FALSE
qr_common_mental_health_symptoms,excessive_worry,f1.17.1,excessive_worry,Common Mental Health Symptoms - Worrying too much about different things,text,Common Mental Health Symptoms,questionnaire,FALSE
qr_common_mental_health_symptoms,trouble_relaxing,f1.18.1,trouble_relaxing,Common Mental Health Symptoms - Trouble relaxing,text,Common Mental Health Symptoms,questionnaire,FALSE
qr_common_mental_health_symptoms,restlessness,f1.19.1,restlessness,Common Mental Health Symptoms - Being so restless that it's hard to sit still,text,Common Mental Health Symptoms,questionnaire,FALSE
qr_common_mental_health_symptoms,irritability,f1.20.1,irritability,Common Mental Health Symptoms - Becoming easily annoyed or irritable,text,Common Mental Health Symptoms,questionnaire,FALSE
qr_common_mental_health_symptoms,feeling_afraid,f1.21.1,feeling_afraid,Common Mental Health Symptoms - Feeling afraid as if something awful might ha...,text,Common Mental Health Symptoms,questionnaire,FALSE
qr_common_mental_health_symptoms,little_interest,f1.3.1,little_interest,Common Mental Health Symptoms - Little interest or pleasure in doing things,text,Common Mental Health Symptoms,questionnaire,FALSE
qr_common_mental_health_symptoms,feeling_down,f1.4.1,feeling_down,"Common Mental Health Symptoms - Feeling down, depressed, or hopeless",text,Common Mental Health Symptoms,questionnaire,FALSE
qr_common_mental_health_symptoms,sleep_trouble,f1.5.1,sleep_trouble,"Common Mental Health Symptoms - Trouble falling or staying asleep, or sleepin...",text,Common Mental Health Symptoms,questionnaire,FALSE
qr_common_mental_health_symptoms,low_energy,f1.6.1,low_energy,Common Mental Health Symptoms - Feeling tired or having little energy,text,Common Mental Health Symptoms,questionnaire,FALSE
qr_common_mental_health_symptoms,appetite_problems,f1.7.1,appetite_problems,Common Mental Health Symptoms - Poor appetite or overeating,text,Common Mental Health Symptoms,questionnaire,FALSE
qr_common_mental_health_symptoms,feeling_bad_self,f1.8.1,feeling_bad_self,Common Mental Health Symptoms - Feeling bad about yourself or that you are a ...,text,Common Mental Health Symptoms,questionnaire,FALSE
qr_common_mental_health_symptoms,concentration_trouble,f1.9.1,concentration_trouble,"Common Mental Health Symptoms - Trouble concentrating on things, such as read...",text,Common Mental Health Symptoms,questionnaire,FALSE
qr_common_mental_health_symptoms,patient-age,,patient_age,Patient Age,text,Common Mental Health Symptoms,generated,TRUE
qr_common_mental_health_symptoms,patient-dob,,patient_dob,Patient Date of Birth,text,Common Mental Health Symptoms,generated,TRUE
qr_common_mental_health_symptoms,patient-name,,patient_name,Patient Name,text,Common Mental Health Symptoms,generated,TRUE
qr_common_mental_health_symptoms,place_declare_values,show-pcl-5-to-8-questions,place_declare_values,A place to declare values that cannot be created using FHIRPath such as Codin...,text,Common Mental Health Symptoms,questionnaire,FALSE
qr_common_mental_health_symptoms,place_declare_values,task-id-common-mental-pdf,place_declare_values,A place to declare values that cannot be created using FHIRPath such as Codin...,text,Common Mental Health Symptoms,questionnaire,FALSE
qr_confidential_s1,questionnaire_id,,questionnaire_id,Questionnaire ID,text,Discuss Confidentiality,system,FALSE
qr_confidential_s1,subject_patient_id,,subject_patient_id,Subject Patient ID,text,Discuss Confidentiality,system,FALSE
qr_confidential_s1,encounter_id,,encounter_id,Encounter ID,text,Discuss Confidentiality,system,FALSE
qr_confidential_s1,author_practitioner_id,,author_practitioner_id,Author Practitioner ID,text,Discuss Confidentiality,system,FALSE
qr_confidential_s1,practitioner_location_id,,practitioner_location_id,Practitioner Location ID,text,Discuss Confidentiality,system,FALSE
qr_confidential_s1,practitioner_organization_id,,practitioner_organization_id,Practitioner Organization ID,text,Discuss Confidentiality,system,FALSE
qr_confidential_s1,practitioner_id,,practitioner_id,Practitioner ID,text,Discuss Confidentiality,system,FALSE
qr_confidential_s1,practitioner_careteam_id,,practitioner_careteam_id,Practitioner Care Team ID,text,Discuss Confidentiality,system,FALSE
qr_confidential_s1,application_version,,application_version,Application Version,text,Discuss Confidentiality,system,FALSE
qr_confidential_s1,qr_id,,qr_id,Questionnaire Response ID,character varying,Discuss Confidentiality,system,FALSE
qr_confidential_s1,add_family_member,b5bc7f80-4a0c-486c-e5eb-32c750036f94,add_family_member,Add Family Member Registration - Calculated Age,text,Discuss Confidentiality,questionnaire,FALSE
qr_confidential_s1,add_family_member,calculated-month,add_family_member,Add Family Member Registration - calculated month,text,Discuss Confidentiality,questionnaire,FALSE
qr_confidential_s1,add_family_member,calculated-year,add_family_member,Add Family Member Registration - calculated year,text,Discuss Confidentiality,questionnaire,FALSE
qr_confidential_s1,add_family_member,cd8e3d6d-e9ff-458d-d122-57070bebffaf,add_family_member,Add Family Member Registration - Date of birth,text,Discuss Confidentiality,questionnaire,FALSE
qr_financial_wellness_tool,questionnaire_id,,questionnaire_id,Questionnaire ID,text,Financial Wellness Tool,system,FALSE
qr_financial_wellness_tool,subject_patient_id,,subject_patient_id,Subject Patient ID,text,Financial Wellness Tool,system,FALSE
qr_financial_wellness_tool,encounter_id,,encounter_id,Encounter ID,text,Financial Wellness Tool,system,FALSE
qr_financial_wellness_tool,author_practitioner_id,,author_practitioner_id,Author Practitioner ID,text,Financial Wellness Tool,system,FALSE
qr_financial_wellness_tool,practitioner_location_id,,practitioner_location_id,Practitioner Location ID,text,Financial Wellness Tool,system,FALSE
qr_financial_wellness_tool,practitioner_organization_id,,practitioner_organization_id,Practitioner Organization ID,text,Financial Wellness Tool,system,FALSE
qr_financial_wellness_tool,practitioner_id,,practitioner_id,Practitioner ID,text,Financial Wellness Tool,system,FALSE
qr_financial_wellness_tool,practitioner_careteam_id,,practitioner_careteam_id,Practitioner Care Team ID,text,Financial Wellness Tool,system,FALSE
qr_financial_wellness_tool,application_version,,application_version,Application Version,text,Financial Wellness Tool,system,FALSE
qr_financial_wellness_tool,qr_id,,qr_id,Questionnaire Response ID,character varying,Financial Wellness Tool,system,FALSE
qr_financial_wellness_tool,fin_there_you,21234567-89ab-cdef-0123-456789abcdef,fin_there_you,"Financial Wellness Tool - In the past 12 months, was there a time when you or...",text,Financial Wellness Tool,questionnaire,FALSE
qr_financial_wellness_tool,fin_you_not_pay,31234567-89ab-cdef-0123-456789abcdef,fin_you_not_pay,"Financial Wellness Tool - In the past 12 months, did you not pay the full amo...",text,Financial Wellness Tool,questionnaire,FALSE
qr_financial_wellness_tool,pay_basics_difficulty,3456789a-bcde-f012-3456-789abcdef012,pay_basics_difficulty,"Financial Wellness Tool - How hard is it for you to pay for the very basics, ...",text,Financial Wellness Tool,questionnaire,FALSE
qr_financial_wellness_tool,fin_strongly_you_agree,51234567-89ab-cdef-0123-456789abcdef,fin_strongly_you_agree,Financial Wellness Tool - How strongly do you agree or disagree with the foll...,text,Financial Wellness Tool,questionnaire,FALSE
qr_financial_wellness_tool,fin_you_move_other,61234567-89ab-cdef-0123-456789abcdef,fin_you_move_other,"Financial Wellness Tool - In the past 12 months, did you move in with other p...",text,Financial Wellness Tool,questionnaire,FALSE
qr_financial_wellness_tool,fin_you_run_out,6789abcd-ef01-2345-6789-abcdef012345,fin_you_run_out,"Financial Wellness Tool - In the past 12 months, how often did you run out of...",text,Financial Wellness Tool,questionnaire,FALSE
qr_financial_wellness_tool,shelter_stay,91234567-89ab-cdef-0123-456789abcdef,shelter_stay,"Financial Wellness Tool - In the past 12 months, did you stay at a shelter, i...",text,Financial Wellness Tool,questionnaire,FALSE
qr_financial_wellness_tool,fin_you_not_pay,c1234567-89ab-cdef-0123-456789abcdef,fin_you_not_pay,"Financial Wellness Tool - In the past 12 months, did you not pay the full amo...",text,Financial Wellness Tool,questionnaire,FALSE
qr_financial_wellness_tool,food_insecurity,cdef0123-4567-89ab-cdef-0123456789ab,food_insecurity,"Financial Wellness Tool - ""I worried whether my food would run out before I g...",text,Financial Wellness Tool,questionnaire,FALSE
qr_financial_wellness_tool,fin_food_bought_just,f0123456-789a-bcde-f012-3456789abcde,fin_food_bought_just,"Financial Wellness Tool - ""The food that I bought just didn't last and I didn...",text,Financial Wellness Tool,questionnaire,FALSE
qr_financial_wellness_tool,fin_your_phone_gas,f1234567-89ab-cdef-0123-456789abcdef,fin_your_phone_gas,"Financial Wellness Tool - In the past 12 months, was your phone, gas, heating...",text,Financial Wellness Tool,questionnaire,FALSE
qr_financial_wellness_tool,fin_you_think_your,f1a2b3c4-5e6f-4a1b-8c7d-9e0f1a2b3c4d,fin_you_think_your,"Financial Wellness Tool - When you think about your financial situation, how ...",text,Financial Wellness Tool,questionnaire,FALSE
qr_financial_wellness_tool,financial_wellness_tool,high-debt,financial_wellness_tool,Financial Wellness Tool,text,Financial Wellness Tool,questionnaire,FALSE
qr_financial_wellness_tool,financial_wellness_tool,high-food-insecurity,financial_wellness_tool,Financial Wellness Tool,text,Financial Wellness Tool,questionnaire,FALSE
qr_financial_wellness_tool,financial_wellness_tool,high-housing-insecurity,financial_wellness_tool,Financial Wellness Tool,text,Financial Wellness Tool,questionnaire,FALSE
qr_financial_wellness_tool,financial_wellness_tool,high-paying-bills,financial_wellness_tool,Financial Wellness Tool,text,Financial Wellness Tool,questionnaire,FALSE
qr_financial_wellness_tool,financial_wellness_tool,moderate-debt,financial_wellness_tool,Financial Wellness Tool,text,Financial Wellness Tool,questionnaire,FALSE
qr_financial_wellness_tool,financial_wellness_tool,moderate-food-insecurity,financial_wellness_tool,Financial Wellness Tool,text,Financial Wellness Tool,questionnaire,FALSE
qr_financial_wellness_tool,financial_wellness_tool,moderate-housing-insecurity,financial_wellness_tool,Financial Wellness Tool,text,Financial Wellness Tool,questionnaire,FALSE
qr_financial_wellness_tool,financial_wellness_tool,moderate-medical-hardships,financial_wellness_tool,Financial Wellness Tool,text,Financial Wellness Tool,questionnaire,FALSE
qr_financial_wellness_tool,financial_wellness_tool,moderate-paying-bills,financial_wellness_tool,Financial Wellness Tool,text,Financial Wellness Tool,questionnaire,FALSE
qr_financial_wellness_tool,financial_wellness_tool,no-financial-hardship,financial_wellness_tool,Financial Wellness Tool,text,Financial Wellness Tool,questionnaire,FALSE
qr_financial_wellness_tool,financial_wellness_tool,overall-financial-hardship,financial_wellness_tool,Financial Wellness Tool,text,Financial Wellness Tool,questionnaire,FALSE
qr_gad_7_s1,questionnaire_id,,questionnaire_id,Questionnaire ID,text,GAD-7 (IPC Session 1),system,FALSE
qr_gad_7_s1,subject_patient_id,,subject_patient_id,Subject Patient ID,text,GAD-7 (IPC Session 1),system,FALSE
qr_gad_7_s1,encounter_id,,encounter_id,Encounter ID,text,GAD-7 (IPC Session 1),system,FALSE
qr_gad_7_s1,author_practitioner_id,,author_practitioner_id,Author Practitioner ID,text,GAD-7 (IPC Session 1),system,FALSE
qr_gad_7_s1,practitioner_location_id,,practitioner_location_id,Practitioner Location ID,text,GAD-7 (IPC Session 1),system,FALSE
qr_gad_7_s1,practitioner_organization_id,,practitioner_organization_id,Practitioner Organization ID,text,GAD-7 (IPC Session 1),system,FALSE
qr_gad_7_s1,practitioner_id,,practitioner_id,Practitioner ID,text,GAD-7 (IPC Session 1),system,FALSE
qr_gad_7_s1,practitioner_careteam_id,,practitioner_careteam_id,Practitioner Care Team ID,text,GAD-7 (IPC Session 1),system,FALSE
qr_gad_7_s1,application_version,,application_version,Application Version,text,GAD-7 (IPC Session 1),system,FALSE
qr_gad_7_s1,qr_id,,qr_id,Questionnaire Response ID,character varying,GAD-7 (IPC Session 1),system,FALSE
qr_gad_7_s1,gad_place_declare_values,3212b2b2-f42f-46e9-b6bd-42fc29671da9,gad_place_declare_values,A place to declare values that cannot be created using FHIRPath such as Codin...,text,GAD-7 (IPC Session 1),questionnaire,FALSE
qr_gad_7_s1,gad_place_declare_values,583c5b02-b26c-4821-8da8-7ed9066d9d5d,gad_place_declare_values,A place to declare values that cannot be created using FHIRPath such as Codin...,text,GAD-7 (IPC Session 1),questionnaire,FALSE
qr_gad_7_s1,gad_place_declare_values,69f16284-b8a8-4a24-ab79-03bde5bcfbe9,gad_place_declare_values,A place to declare values that cannot be created using FHIRPath such as Codin...,text,GAD-7 (IPC Session 1),questionnaire,FALSE
qr_gad_7_s1,gad_place_declare_values,829e6d32-3fa7-4d16-909b-b198aea54603,gad_place_declare_values,A place to declare values that cannot be created using FHIRPath such as Codin...,text,GAD-7 (IPC Session 1),questionnaire,FALSE
qr_gad_7_s1,gad_add_family_member,b5bc7f80-4a0c-486c-e5eb-32c750036f94,gad_add_family_member,Add Family Member Registration - Calculated Age,text,GAD-7 (IPC Session 1),questionnaire,FALSE
qr_gad_7_s1,gad_add_family_member,calculated-month,gad_add_family_member,Add Family Member Registration - calculated month,text,GAD-7 (IPC Session 1),questionnaire,FALSE
qr_gad_7_s1,gad_add_family_member,calculated-year,gad_add_family_member,Add Family Member Registration - calculated year,text,GAD-7 (IPC Session 1),questionnaire,FALSE
qr_gad_7_s1,gad_add_family_member,cd8e3d6d-e9ff-458d-d122-57070bebffaf,gad_add_family_member,Add Family Member Registration - Date of birth,text,GAD-7 (IPC Session 1),questionnaire,FALSE
qr_gad_7_s1,gad_place_declare_values,encounter-id,gad_place_declare_values,A place to declare values that cannot be created using FHIRPath such as Codin...,text,GAD-7 (IPC Session 1),questionnaire,FALSE
qr_gad_7_s1,feeling_nervous,f1.15.1,feeling_nervous,"Common Mental Health Symptoms - Feeling nervous, anxious, or on edge",text,GAD-7 (IPC Session 1),questionnaire,FALSE
qr_gad_7_s1,gad_common_mental_health,f1.16.1,gad_common_mental_health,Common Mental Health Symptoms - Not being able to stop or control worrying,text,GAD-7 (IPC Session 1),questionnaire,FALSE
qr_gad_7_s1,excessive_worry,f1.17.1,excessive_worry,Common Mental Health Symptoms - Worrying too much about different things,text,GAD-7 (IPC Session 1),questionnaire,FALSE
qr_gad_7_s1,trouble_relaxing,f1.18.1,trouble_relaxing,Common Mental Health Symptoms - Trouble relaxing,text,GAD-7 (IPC Session 1),questionnaire,FALSE
qr_gad_7_s1,restlessness,f1.19.1,restlessness,Common Mental Health Symptoms - Being so restless that it's hard to sit still,text,GAD-7 (IPC Session 1),questionnaire,FALSE
qr_gad_7_s1,irritability,f1.20.1,irritability,Common Mental Health Symptoms - Becoming easily annoyed or irritable,text,GAD-7 (IPC Session 1),questionnaire,FALSE
qr_gad_7_s1,feeling_afraid,f1.21.1,feeling_afraid,Common Mental Health Symptoms - Feeling afraid as if something awful might ha...,text,GAD-7 (IPC Session 1),questionnaire,FALSE
qr_gad_7_s1,gad_place_declare_values,observation-gad-score-id,gad_place_declare_values,A place to declare values that cannot be created using FHIRPath such as Codin...,text,GAD-7 (IPC Session 1),questionnaire,FALSE
qr_gad_7_s2,questionnaire_id,,questionnaire_id,Questionnaire ID,text,GAD-7 (IPC Session 2),system,FALSE
qr_gad_7_s2,subject_patient_id,,subject_patient_id,Subject Patient ID,text,GAD-7 (IPC Session 2),system,FALSE
qr_gad_7_s2,encounter_id,,encounter_id,Encounter ID,text,GAD-7 (IPC Session 2),system,FALSE
qr_gad_7_s2,author_practitioner_id,,author_practitioner_id,Author Practitioner ID,text,GAD-7 (IPC Session 2),system,FALSE
qr_gad_7_s2,practitioner_location_id,,practitioner_location_id,Practitioner Location ID,text,GAD-7 (IPC Session 2),system,FALSE
qr_gad_7_s2,practitioner_organization_id,,practitioner_organization_id,Practitioner Organization ID,text,GAD-7 (IPC Session 2),system,FALSE
qr_gad_7_s2,practitioner_id,,practitioner_id,Practitioner ID,text,GAD-7 (IPC Session 2),system,FALSE
qr_gad_7_s2,practitioner_careteam_id,,practitioner_careteam_id,Practitioner Care Team ID,text,GAD-7 (IPC Session 2),system,FALSE
qr_gad_7_s2,application_version,,application_version,Application Version,text,GAD-7 (IPC Session 2),system,FALSE
qr_gad_7_s2,qr_id,,qr_id,Questionnaire Response ID,character varying,GAD-7 (IPC Session 2),system,FALSE
qr_gad_7_s2,gad_place_declare_values,3212b2b2-f42f-46e9-b6bd-42fc29671da9,gad_place_declare_values,A place to declare values that cannot be created using FHIRPath such as Codin...,text,GAD-7 (IPC Session 2),questionnaire,FALSE
qr_gad_7_s2,gad_place_declare_values,37e0bcfd-f6d1-4b35-9556-4d458a717a23,gad_place_declare_values,A place to declare values that cannot be created using FHIRPath such as Codin...,text,GAD-7 (IPC Session 2),questionnaire,FALSE
qr_gad_7_s2,gad_place_declare_values,510776d6-8b4e-446b-abe7-80aee8ecb110,gad_place_declare_values,A place to declare values that cannot be created using FHIRPath such as Codin...,text,GAD-7 (IPC Session 2),questionnaire,FALSE
qr_gad_7_s2,gad_place_declare_values,encounter-id,gad_place_declare_values,A place to declare values that cannot be created using FHIRPath such as Codin...,text,GAD-7 (IPC Session 2),questionnaire,FALSE
qr_gad_7_s2,feeling_nervous,f1.15.1,feeling_nervous,"Common Mental Health Symptoms - Feeling nervous, anxious, or on edge",text,GAD-7 (IPC Session 2),questionnaire,FALSE
qr_gad_7_s2,gad_common_mental_health,f1.16.1,gad_common_mental_health,Common Mental Health Symptoms - Not being able to stop or control worrying,text,GAD-7 (IPC Session 2),questionnaire,FALSE
qr_gad_7_s2,excessive_worry,f1.17.1,excessive_worry,Common Mental Health Symptoms - Worrying too much about different things,text,GAD-7 (IPC Session 2),questionnaire,FALSE
qr_gad_7_s2,trouble_relaxing,f1.18.1,trouble_relaxing,Common Mental Health Symptoms - Trouble relaxing,text,GAD-7 (IPC Session 2),questionnaire,FALSE
qr_gad_7_s2,restlessness,f1.19.1,restlessness,Common Mental Health Symptoms - Being so restless that it's hard to sit still,text,GAD-7 (IPC Session 2),questionnaire,FALSE
