questionnaire_id,linkid,sample_value,response_count
Questionnaire/104394,01353b1d-f816-41c1-b330-910e9a76ed12,Paracetamol ,4
Questionnaire/104394,0397084a-cd51-4b3a-809d-970a2406ea49,Drowning,11
Questionnaire/104394,06f9231a-999b-4459-8260-6fbbcdfc5d81,hw3,1
Questionnaire/104394,07c2e8dc-b48b-4bc7-b21b-c196cce32709,988,5
Questionnaire/104394,08b5e17c-5e14-4b19-ac93-9e479cd2a2bb,758,17
Questionnaire/104394,0b247120-23cf-45fc-9e4d-d959f0dda79f,Wee,28
Questionnaire/104394,0c308fef-8ce5-4217-a8d4-8e6ff00c8e14,64353,1
Questionnaire/104394,101d2b7f-2b68-407d-aa49-30cb4dadc888,U,13
Questionnaire/104394,11aadd88-0cf9-48b2-939d-2b3e28191c5f,Ttttt,4
Questionnaire/104394,12d89dfd-5e43-4f00-8446-b3af23323969,Yh,13
Questionnaire/104394,13321778-b5d4-4b01-8eda-610cf0007c86,Xsd,19
Questionnaire/104394,13e2f934-82ed-4b23-af6e-95523dc3746a,hw4,1
Questionnaire/104394,14ec8995-eee9-416f-83ad-9f44631ac9b0,Yyy,11
Questionnaire/104394,15e5007d-028f-4644-8fb6-0346730c3101,Pesa,5
Questionnaire/104394,176aeeb0-e173-482a-b3eb-60f59bc04f98,Tiredness,29
Questionnaire/104394,1895c0a7-b090-4f49-9b0c-08dca9a7b225,Yogi,5
Questionnaire/104394,18d8ee56-ffd8-4711-9074-126ef2cdc564,Using a weapon,14
Questionnaire/104394,1a00c7b7-e80d-4e90-8ed4-efd8f6d96268,945984654,5
Questionnaire/104394,1d0ad825-09de-4018-a680-cd0e6bf0983d,hw3,1
Questionnaire/104394,1fc8f8e7-2022-48d2-b41d-4e8ad22af344,988,5
Questionnaire/104394,20cae99e-ab90-4d75-92a2-c0af5dd60942,Soda,8
Questionnaire/104394,229e58ac-a18a-48dd-be10-f8b024a74eb3,rr,6
Questionnaire/104394,22c11dbc-73e0-4470-9ef6-d9bd01f48c99,With rope ,9
Questionnaire/104394,245e5273-e28b-41d2-a152-1f70d85576c8,2025-09-18,17
Questionnaire/104394,249f5ce8-ecc0-4e43-9675-6b01ca1502a3,Plolol,5
Questionnaire/104394,24e98b7c-2b1c-4ebe-946f-bcb77bc2aa36,rr,6
Questionnaire/104394,2728e75c-a0e9-4cd9-8d35-962e4f71bf41,,12
Questionnaire/104394,28b2e31a-ee4d-4e99-8974-b616145311eb,Y,6
