period_date,organization_id,metric_id,value,unit,method_version,description,status
2026-01-27,526e3168-50d5-4c6e-bef1-eb4cad5b75d6,active_providers,0,count,v1,Providers who submitted QRs in past 30 days,prod
2026-01-27,602ec278-054a-473e-a553-957bd5ac8c6f,active_providers,0,count,v1,Providers who submitted QRs in past 30 days,prod
2026-01-27,60a2706c-ff10-4966-8fc0-54b217490646,active_providers,0,count,v1,Providers who submitted QRs in past 30 days,prod
2026-01-27,7cde85c1-49ef-43c0-b684-de2ac4be6fae,active_providers,0,count,v1,Providers who submitted QRs in past 30 days,prod
2026-01-27,8223aa6f-5261-4a61-aaa3-8aa4ed324b03,active_providers,0,count,v1,Providers who submitted QRs in past 30 days,prod
2026-01-27,8272bcf1-9145-4fb2-869d-eb1f4512a03d,active_providers,0,count,v1,Providers who submitted QRs in past 30 days,prod
2026-01-27,92dd11a8-2635-476b-a8d0-573cf74d4487,active_providers,0,count,v1,Providers who submitted QRs in past 30 days,prod
2026-01-27,96650c26-5273-4b91-a19e-65aa25db7f73,active_providers,0,count,v1,Providers who submitted QRs in past 30 days,prod
2026-01-27,d49549fa-5068-4a6e-81fc-eb6c315d2d53,active_providers,0,count,v1,Providers who submitted QRs in past 30 days,prod
2026-01-27,ee1b8cf2-2f4a-447c-bbb5-d63c674aff01,active_providers,0,count,v1,Providers who submitted QRs in past 30 days,prod
2026-01-27,,active_providers,0,count,v1,Providers who submitted QRs in past 30 days,prod
2023-12-12,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,1,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-05-07,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,2,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-05-08,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,1,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-05-10,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,1,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-05-15,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,1,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-05-16,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,1,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-05-23,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,1,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-05-28,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,3,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-05-29,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,2,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-05-31,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,6,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-06-01,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,2,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-06-03,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,1,count,v1,Total unique clients seen (one encounter per patient per day),prod
2024-06-04,92dd11a8-2635-476b-a8d0-573cf74d4487,client_encounters,11,count,v1,Total unique clients seen (one encounter per patient per day),prod
